First Aurthor,Year,Title,Type
Han X ,2018,Semisupervised and weakly supervised road detection based on generative adversarial networks,Journal
Seeliger K,2018,Generative adversarial networks for reconstructing natural images from brain activity,Journal
Li J,2018,WaterGAN: Unsupervised generative network to enable real-time color correction of monocular underwater images,Journal
Hu D ,2018,A novel image steganography method via deep convolutional generative adversarial networks,Journal
Poursaeed O,2018,Generative adversarial perturbations,Journal
Chen X ,2018,Adversarial deep averaging networks for cross-lingual sentiment classification,Journal
Nie D ,2018,Medical image synthesis with deep convolutional adversarial networks,Journal
Li Y,2018,Improved boundary equilibrium generative adversarial networks,Journal
Mao X,2018,Semantic invariant cross-domain image generation with generative adversarial networks,Journal
Gao F,2018,A deep convolutional generative adversarial networks (DCGANs)-based semi-supervised method for object recognition in synthetic aperture radar (SAR) images,Journal
Peng Y,2018,CM-GANs: Cross-modal generative adversarial networks for common representation learning,Journal
Brock A,2019,Large scale GAN training for high fidelity natural image synthesis,Conference
Turkoglu M,2019,A  layer-based  sequential  framework  for  scenegeneration with GANs,Conference
Saqur R,2019,CapsGAN: Using dynamic routing for generative adversarial networks,Conference
Lucio D,2019,Fully convolutional networks and generative adversarial networks applied to sclera segmentation,Conference
Bau D,2019,Visualizing and understanding generative adversarial networks,Conference
Damer N,2019,MorGAN: Recognition vulnerability and attack detectability of face morphing attacks created by generative adversarial network,Conference
Mao Q,2019,Mode seeking generative adversarial networks for diverse image synthesis,Conference
Liu S,2019,Pixel level data augmentation for semantic image segmentation using generative adversarial networks,Conference
Tang H,2019,Attention-guided generative adversarial networks for unsupervised image-to-image translation,Conference
Thanh-Tung H,2019,Improving generalization and stability of generative adversarial networks,Conference
Lin J,2019,Generative adversarial network-based frame extrapolation for video coding,Conference
Tomei M,2019,Art2Real: Unfolding the reality of artworks via semantically-aware image-to-image translation,Conference
Chen Y,2019,3D object completion via class-conditional generative adversarial network,Conference
Qin Y,2019,How does Lipschitz regularization influence GAN training?,arXiv
Tang H,2019,Dual generator generative adversarial networks for multi-domain image-to-image translation,arXiv
Li D,2019,MAD-GAN: Multivariate anomaly detection for time series data with generative adversarial networks,arXiv
Jo Y,2019,SC-FEGAN: Face editing generative adversarial network with user's sketch and color,arXiv
Zhu B,2019,Deconstructing generative adversarial networks,arXiv
Zhu M,2019,DM-GAN: Dynamic memory generative adversarial networks for text-to-image synthesis,arXiv
Jia C,2019,Light field image compression using generative adversarial network-based view synthesis,arXiv
Hong Y,2019,How generative adversarial networks and their variants work: An overview,Journal
Zhao L,2019,Simultaneous color-depth super-resolution with conditional generative adversarial networks,Journal
Dar S,2019,Image synthesis in multi-contrast MRI with conditional generative adversarial networks,Journal
Mardani M,2019,Deep generative adversarial neural networks for compressive sensing MRI,Journal
Wang C,2019,Evolutionary generative adversarial networks,Journal
Ma J,2019,FusionGAN: A generative adversarial network for infrared and visible image fusion,Journal
Lee M,2019,Controllable generative adversarial network,Journal
